Question	Gold	Top3_Distractors	Q_Coarse	Q_Fine	Gold_spaCy	Candidate_Type
When did Beyonce start becoming popular?	in the late 1990s	['the past 10 years', 'a couple of years', 'the second year in a row']	None	None	DATE	{'DATE'}	
What areas did Beyonce compete in when she was growing up?	singing and dancing	[]	None	None	None	set()	
When did Beyonce leave Destiny's Child and become a solo singer?	2003	['2004', '2008', '2006']	None	None	DATE	{'DATE'}	
In what city and state did Beyonce  grow up? 	Houston, Texas	['New Zealand', 'New Orleans', 'New York']	None	None	GPE	{'GPE'}	
In which decade did Beyonce become famous?	late 1990s	[]	None	None	None	set()	
In what R&B group was she the lead singer?	Destiny's Child	["Destiny Child's", 'Second Harvest', 'Starwave Mobile']	None	None	ORG	{'ORG'}	
What album made her a worldwide known artist?	Dangerously in Love	['Beyoncé for Essence', 'Fashion For Haiti', 'Men in Black']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Who managed the Destiny's Child group?	Mathew Knowles	['Chris Richards', 'Tina Knowles', 'LeToya Luckett']	None	None	PERSON	{'PERSON'}	
When did Beyoncé rise to fame?	late 1990s	[]	None	None	None	set()	
What role did Beyoncé have in Destiny's Child?	lead singer	[]	None	None	None	set()	
What was the first album Beyoncé released as a solo artist?	Dangerously in Love	['Beyoncé for Essence', 'Fashion For Haiti', 'Men in Black']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
When did Beyoncé release Dangerously in Love?	2003	['2004', '2006', '2013']	None	None	DATE	{'DATE'}	
How many Grammy awards did Beyoncé win for her first solo album?	five	['nine', 'four', 'one']	None	None	CARDINAL	{'CARDINAL'}	
What was Beyoncé's role in Destiny's Child?	lead singer	[]	None	None	None	set()	
What was the name of Beyoncé's first solo album?	Dangerously in Love	['Beyoncé for Essence', 'Fashion For Haiti', 'Men in Black']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
After her second solo album, what other entertainment venture did Beyonce explore?	acting	[]	None	None	None	set()	
Which artist did Beyonce marry?	Jay Z	['Baker', 'Gray', 'Halo']	None	None	PERSON	{'PERSON'}	
To set the record for Grammys, how many did Beyonce win?	six	['half', 'one', 'two']	None	None	CARDINAL	{'CARDINAL'}	
For what movie did Beyonce receive  her first Golden Globe nomination?	Dreamgirls	['Best Song', 'Tyra Banks', 'Queen Tara']	None	None	PERSON	{'PERSON'}	
When did Beyonce take a hiatus in her career and take control of her management?	2010	['2012', '2013', '2011']	None	None	DATE	{'DATE'}	
Which album was darker in tone from her previous work?	Beyoncé	['CSPINET', 'Spotify', 'Shakira']	None	None	ORG	{'ORG'}	
After what movie portraying Etta James, did Beyonce create Sasha Fierce?	Cadillac Records	['Columbia Records', 'Elektra Records', 'the ONE Campaign']	None	None	ORG	{'ORG'}	
When did Destiny's Child end their group act?	June 2005	['June 2013', 'June 2014', 'June 11, 2005']	None	None	DATE	{'DATE'}	
What was the name of Beyoncé's second solo album?	B'Day	['Best Song', 'Jay Z', 'Baker']	None	None	PERSON	{'PERSON'}	
What was Beyoncé's first acting job, in 2006?	Dreamgirls	['Best Song', 'Tyra Banks', 'Queen Tara']	None	None	PERSON	{'PERSON'}	
Who is Beyoncé married to?	Jay Z	['Baker', 'Gray', 'Halo']	None	None	PERSON	{'PERSON'}	
What is the name of Beyoncé's alter-ego?	Sasha Fierce	['Emmett Price', 'Best Song', 'Philip Green']	None	None	PERSON	{'PERSON'}	
In her music, what are some recurring elements in them?	love, relationships, and monogamy	[]	None	None	None	set()	
Time magazine named her one of the most 100 what people of the century?	influential	[]	None	None	None	set()	
Which magazine declared her the most dominant woman musician?	Forbes	['Time', 'G7', 'iTunes']	None	None	ORG	{'ORG'}	
In which decade did the Recording Industry Association of America recognize Beyonce as the The Top Certified Artist?	2000s	[]	None	None	None	set()	
What magazine rated Beyonce as the most powerful female musician in 2015?	Forbes	['Time', 'G7', 'iTunes']	None	None	ORG	{'ORG'}	
How did Beyonce describe herself as a feminist?	modern-day feminist	[]	None	None	None	set()	
In which years did Time rate Beyonce in the 100 most influential people in the world?	2013 and 2014	[]	None	None	None	set()	
How many records has Beyonce sold in her 19 year career?	118 million	['one million', '300 million', '11 million']	None	None	CARDINAL	{'CARDINAL'}	
How many records did Beyoncé sell as part of Destiny's Child?	60 million	['11 million', '15 million', '300 million']	None	None	CARDINAL	{'CARDINAL'}	
After leaving Destiny's Child, how many records did Beyoncé release under her own name?	118 million	['300 million', 'one million', '11 million']	None	None	CARDINAL	{'CARDINAL'}	
How many Grammy awards has Beyoncé won?	20	[]	None	None	None	set()	
What magazine named Beyoncé as the most powerful female musician for 2015?	Forbes	['Time', 'G7', 'iTunes']	None	None	ORG	{'ORG'}	
Beyonce's younger sibling also sang with her in what band?	Destiny's Child	["Destiny Child's", 'Second Harvest', 'Starwave Mobile']	None	None	ORG	{'ORG'}	
Where did Beyonce get her name from?	her mother's maiden name	[]	None	None	None	set()	
What race was Beyonce's father?	African-American	['African American', 'Native American', 'North American']	None	None	NORP	{'NORP'}	
Beyonce's childhood home believed in what religion?	Methodist	['Hollywood', 'Amsterdam', 'Australia']	None	None	GPE	{'GPE'}	
Beyonce's father worked as a sales manager for what company?	Xerox	['Jay-Z', 'NAACP', 'Vogue']	None	None	ORG	{'ORG'}	
Beyonce's mother worked in what industry?	hairdresser and salon owner	[]	None	None	None	set()	
What younger sister of Beyonce also appeared in Destiny's Child?	Solange	['Jackson', 'Knowles', 'Luckett']	None	None	PERSON	{'PERSON'}	
Beyonce is a descendent of what Arcadian leader?	Joseph Broussard	['single "Déjà Vu"', 'LaTavia Roberson', 'George Zimmerman']	None	None	PERSON	{'PERSON'}	
What company did Beyoncé's father work for when she was a child?	Xerox	['NAACP', 'Jay-Z', 'Bonnie & Clyde']	None	None	ORG	{'ORG'}	
What did Beyoncé's mother own when Beyoncé was a child?	salon	[]	None	None	None	set()	
What is the name of Beyoncé's younger sister?	Solange	['Jackson', 'Knowles', 'Charlie']	None	None	PERSON	{'PERSON'}	
Beyoncé is a descendant of which Acadian leader?	Joseph Broussard.	[]	None	None	None	set()	
Beyoncé was raised in what religion?	Methodist	['Hollywood', 'Amsterdam', 'Australia']	None	None	GPE	{'GPE'}	
What town did Beyonce go to school in?	Fredericksburg	["Atlantic City's", 'New Zealand', 'Deréon']	None	None	GPE	{'GPE'}	
Who was the first person to notice Beyonce's singing ability?	Darlette Johnson	['Joseph Broussard', 'LaTavia Roberson', 'George Zimmerman']	None	None	PERSON	{'PERSON'}	
Beyonce moved to which town after she left her first elementary school?	Houston	['Bangkok', 'Ireland', 'Germany']	None	None	GPE	{'GPE'}	
Which of her teachers discovered Beyonce's musical talent?	dance instructor Darlette Johnson	["Atlantic City's", "New York's", 'New Zealand']	None	None	GPE	{'GPE'}	
I which church was Beyonce  a member and soloist  in the choir?	St. John's United Methodist Church	["two of the decade's", "the previous year's", 'the week of August 29, 2011']	None	None	DATE	{'DATE'}	
What type of school was Parker Elementary School?	music magnet school	[]	None	None	None	set()	
Which song did Beyonce sing to win a competition at age 7?	Imagine	[]	None	None	None	set()	
What city was Beyoncé's elementary school located in?	Fredericksburg	["Atlantic City's", 'New Zealand', "New York's"]	None	None	GPE	{'GPE'}	
What was the name of Beyoncé's first dance instructor?	Darlette Johnson	['Joseph Broussard', 'LaTavia Roberson', 'George Zimmerman']	None	None	PERSON	{'PERSON'}	
How old was Beyoncé when she won a school talent show?	seven	[]	None	None	None	set()	
What choir did Beyoncé sing in for two years?	St. John's United Methodist Church	["two of the decade's", "the previous year's", 'the week of August 29, 2011']	None	None	DATE	{'DATE'}	
Who decided to place Beyonce's group in Star Search the talent show?	Arne Frager	['John Legend', 'Anita Baker', 'Alice Jones']	None	None	PERSON	{'PERSON'}	
In 1995, who decided to manage the girls singing group?	Beyoncé's father	[]	None	None	None	set()	
Who was the first record label to give the girls a record deal?	Elektra Records	['Atlanta Records', 'Starwave Mobile', 'Crystal Collins']	None	None	ORG	{'ORG'}	
Who brought Beyonce to California and enter her group in Star Search?	Arne Frager	['John Legend', 'Anita Baker', 'Alice Jones']	None	None	PERSON	{'PERSON'}	
In what year did Beyonce's father quit his job to manage her group?	1995	['1996', '1997', '1992']	None	None	DATE	{'DATE'}	
What large record company recorded Beyonce's group's first album?	Sony Music	['Boyz II Men', 'MTV Europe Music Awards', 'Azealia Banks']	None	None	ORG	{'ORG'}	
What record company first signed Beyonce's group and later cut them?	Elektra Records	['Atlanta Records', 'Starwave Mobile', 'Crystal Collins']	None	None	ORG	{'ORG'}	
At what age did Beyonce meet LaTavia Robertson?	age eight	['September', 'June 2013', 'June 2014']	None	None	DATE	{'DATE'}	
How old was Beyoncé when she met LaTavia Roberson?	eight	['three', 'nine', 'five']	None	None	CARDINAL	{'CARDINAL'}	
What was the name of the first group Beyoncé was a part of?	Girl's Tyme	['Star Search', 'Boyz II Men', 'House of Brands']	None	None	ORG	{'ORG'}	
Who placed Girl's Tyme in Star Search?	Arne Frager	['John Legend', 'Anita Baker', 'Norah Jones']	None	None	PERSON	{'PERSON'}	
When did Beyoncé begin to manage the girl group?	1995	['1996', '1992', '1997']	None	None	DATE	{'DATE'}	
Who signed the girl group on October 5, 1995?	Dwayne Wiggins's Grass Roots Entertainment	['eighth', 'second', 'seventh']	None	None	ORDINAL	{'ORDINAL'}	
Which film featured Destiny's Child's first major single?	Men in Black	['Killing Time', 'Back to Black', 'End of Time']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
For which song, did Destiny's Child take home the grammy award for best R&B performance?	"Say My Name"	['Milk Famous (', 'Single Ladies', 'Demand A Plan']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
Who did Beyonce record with for the movie "The Best Man?"	Marc Nelson	['John Legend', 'Celine Dion', 'Lauryn Hill']	None	None	PERSON	{'PERSON'}	
Beyonce's group changed their name to Destiny's Child in what year?	1996	['1999', '1997', '1992']	None	None	DATE	{'DATE'}	
The name Destiny's Child was based on a quote in which book of the Bible?	Book of Isaiah	['North American', 'African American', 'Italian']	None	None	NORP	{'NORP'}	
Debut song, "Killing Time" was featured on what movie's sound track?	Men in Black	['Killing Time', 'Back to Black', 'End of Time']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
What song won Best R&B Performance in the 43 Annual Grammy Awards?	Say My Name	['Green Light', 'Miss a Meal', 'Love on Top']	None	None	WORK_OF_ART	{'WORK_OF_ART'}	
